address,company,detail,position
深圳,"
华为
",1年以上 | 全职 | 14.4-19.2万元,华为高级UI设计师
深圳,"
华为
",1年以上 | 全职 | 18.0-36.0万元,高级网络数据分析师
西安,"
华为
",本科以上 | 3年以上 | 全职,高级软件工程师
东莞,"
华为
",本科以上 | 5年以上 | 全职 | 24.0-48.0万元,数据运营工程师
杭州,"
华为
",本科以上 | 3-4年经验 | 全职 | 1-2万/月,人才发展咨询顾问
北京,"
华为
",本科以上 | 5-10年 | 全职 | 40000-70000元,华为云解决方案架构师
深圳,"
华为
",全职 | 12.0-14.4万元,华为数据分析专员
武汉,"
华为
",全职 | 9.6-14.4万元,华为武汉部门助理
深圳,"
华为
",本科以上 | 3-5年 | 全职 | 20000-30000元,应用软件开发工程师
深圳,"
华为
",本科以上 | 4年以上 | 全职 | 18.0-48.0万元,软件测试工程师
成都,"
华为
",本科以上 | 3-5年 | 全职 | 15000-30000,web前端
成都,"
华为
",本科以上 | 3-5年 | 全职 | 15000-30000元,软件测试工程师
深圳,"
华为
",全职 | 13.2-19.2万元,华为暖通配电设计师
东莞,"
华为
",本科以上 | 5年以上 | 全职 | 36.0-72.0万元,IT高级项目经理项目经理
成都,"
华为
",本科以上 | 3年以上 | 全职 | 18.0-36.0万元,安全测试工程师
深圳,"
西安杨森
",本科以上 | 2年经验 | 全职 | 0.8-1万/月,特药销售代表
太原,"
西安杨森
",本科以上 | 2年经验 | 全职 | 0.8-1万/月,特药销售代表
武汉,"
西安杨森
",本科以上 | 2年经验 | 全职 | 0.8-1万/月,特药销售代表
北京,"
西安杨森
",本科以上 | 实习,医学市场部实习生
哈尔滨,"
西安杨森
",本科以上 | 2年经验 | 全职 | 0.8-1万/月,特药销售代表
济南,"
西安杨森
",本科以上 | 5-7年经验 | 全职 | 1.5-2万/月,地区销售经理
北京,"
西安杨森
",本科以上 | 全职 | 120/天,医学事务部助理
北京,"
西安杨森
",本科以上 | 10年以上经验 | 全职 | 3-4万/月,Innovation business development S. Manager
天津,"
西安杨森
",大专以上 | 2年经验 | 全职 | 0.8-1万/月,区域销售主管
广州,"
西安杨森
",本科以上 | 5-7年经验 | 全职 | 2-3千/月,区域推广经理RPM
厦门,"
西安杨森
",大专以上 | 1年经验 | 全职 | 1-1.5万/月,医药代表-精神
苏州,"
西安杨森
",大专以上 | 1年经验 | 全职 | 1-1.5万/月,医药销售代表-神经
北京,"
西安杨森
",本科以上 | 1年经验 | 全职 | 1-1.5万/月,医药代表-神经
南京,"
西安杨森
",本科以上 | 1年经验 | 全职 | 1-1.5万/月,医药销售代表-精神
湖州,"
西安杨森
",本科以上 | 1年经验 | 全职 | 0.8-1万/月,医药销售代表
西安,"
西安宜家
",全职 | 2.5-3.5千/月,销售部员工
西安,"
西安宜家
",全职 | 6-8千/月,销售部部门主管
西安,"
西安宜家
",实习 | 18元/小时,餐饮部长期实习
西安,"
西安宜家
",全职 | 4.5-6千/月,收银主管
西安,"
西安宜家
",全职 | 3-4.5千/月,安保部员工
西安,"
西安宜家
",本科以上 | 5-7年经验 | 全职 | 1-1.4万/月,业务调控经理 Business Navigation Manager
西安,"
西安宜家
",全职 | 0.8-1.2万/月,餐厅经理
西安,"
西安宜家
",全职 | 3.5-4.5千/月,厨师
西安,"
西安宜家
",全职 | 2-3千/月,物流仓库员工
西安,"
西安宜家
",全职 | 2-3千/月,叉车工
西安,"
西安宜家
",大专以上 | 2年经验 | 全职 | 4.5-6千/月,人员计划专员
西安,"
西安宜家
",实习 | 18元/小时,销售部长期实习生
西安,"
西安宜家
",实习 | 18元/小时,物流部长期实习生
西安,"
西安宜家
",实习 | 18元/小时,物流部实习生
西安,"
西安三星
",本科以上 | 3年以上 | 全职,薪资绩效经理
